1,Random Strategies by Picorims,1|1|1|1|1|1|1|1
Jessi Laible,jlaiblehr19127,0,23|3|1|6|16|7|3|5
Glendon Staves,gstaveskc16585,0,12|6|16|10|0|8|5|7
Darcie Pridie,dpridief710164,0,5|0|14|7|8|15|9|6
Llywellyn Bleackley,lbleackleypx6894,0,6|4|8|9|7|6|10|14
Nester Robertazzi,nrobertazzi2p19678,0,15|1|4|5|12|11|10|6
Goddart Opy,gopyr118184,0,1|6|6|0|20|21|0|10
Meara Dreher,mdreherhf29924,0,5|14|4|4|8|3|7|19
Ailyn Tregien,atregienre831,0,7|4|12|8|8|6|5|14
Roanne Coorington,rcooringtonqa2219,0,3|8|11|6|11|7|4|14
Ellary Wilding,ewilding5x12927,0,8|7|9|6|7|4|5|18
Hamel Lynde,hlynde1i23901,0,4|19|7|7|5|8|8|6
Ainslie Facer,afacer7524171,0,3|14|23|2|11|1|2|8
Noble Rosenfarb,nrosenfarbcr20502,0,0|4|8|24|1|7|8|12
Kassandra Rimington,krimingtonks9621,0,5|2|15|4|15|8|8|7
Eugene Allot,eallotf08163,0,0|11|14|6|4|5|10|14
Nikkie Barrington,nbarringtonif482,0,3|3|11|6|5|17|6|13
Tad Goudman,tgoudman7n1653,0,8|8|11|2|2|15|5|13
Darsey Pothecary,dpothecary1529974,0,16|15|7|8|5|1|5|7
Leonidas Pelman,lpelman3e27329,0,1|16|5|6|7|6|11|12
Munmro Doleman,mdolemanh41164,0,17|3|8|3|3|6|16|8
Olin Munroe,omunroe2y10496,0,7|3|7|2|24|4|12|5
Cinnamon Pitbladdo,cpitbladdoie29116,0,7|8|7|2|5|2|17|16
Rora Bolliver,rbolliver7y16018,0,8|1|4|2|6|19|21|3
Isa Childe,ichildenk13756,0,2|5|10|16|8|10|2|11
Galen Preshous,gpreshousoh12121,0,20|1|5|1|12|6|17|2
Abbie Pimbley,apimbleya219360,0,7|3|5|22|4|13|9|1
Kamillah Beisley,kbeisleyn932350,0,6|6|3|15|13|1|14|6
Augustine Strickland,astricklandp217286,0,17|5|7|7|7|12|7|2
Sonya Bousler,sbouslero20151,0,8|8|12|14|14|0|0|8
Larina Darcey,ldarceyck1924,0,7|3|15|8|11|8|9|3
Mikol Micheli,mmichelipx9672,0,6|23|4|0|15|3|6|7
Early Bate,ebateqb5570,0,10|5|0|15|13|2|15|4
Kass Spracklin,kspracklinqo17614,0,8|3|8|10|2|14|13|6
Nikkie Barrington,nbarringtonif27366,0,8|9|18|5|5|0|6|13
Guntar Quincee,gquincee5q4787,0,10|13|4|10|6|6|5|10
Homer Wycliffe,hwycliffe4o28134,0,10|8|21|8|8|2|1|6
Gareth Skowcraft,gskowcrafth919565,0,2|10|5|9|7|7|10|14
Aldous McCardle,amccardler96926,0,0|1|12|15|20|8|6|2
Halsy Attard,hattardj715614,0,2|14|6|16|2|11|12|1
Mildred Bambrugh,mbambrughh317201,0,7|12|6|2|2|4|24|7
Blanche Pierpoint,bpierpoint1f14097,0,13|8|8|7|7|4|11|6
Lotty Ebdon,lebdongq13750,0,0|6|13|6|15|16|4|4
Cariotta Dodshon,cdodshonmz2121,0,11|5|7|4|6|19|0|12
Reggi Clee,rcleegk1295,0,8|11|7|5|13|3|10|7
Trudie Kondratowicz,tkondratowiczm624578,0,8|7|6|6|26|5|6|0
Joshuah Ottey,jottey3525226,0,12|19|7|3|12|2|0|9
Marielle McKinstry,mmckinstry6r14020,0,4|16|1|11|3|4|8|17
Hagan Casley,hcasleynu11880,0,12|10|2|8|3|1|20|8
Elias Entwistle,eentwistleg18178,0,3|0|17|8|8|3|7|18
Darice Filipovic,dfilipovicqn20539,0,11|5|7|5|3|8|13|12
Sammy Heliet,sheliet5n9384,0,7|16|5|16|0|1|15|4
Blondell Surfleet,bsurfleethk4819,0,17|12|0|1|7|11|8|8
Baily Fewkes,bfewkeskq18021,0,17|5|18|3|1|7|10|3
Jesus Tant,jtanti08803,0,7|3|5|0|6|16|9|18
Norrie Pierce,npierce4k6217,0,3|11|17|3|2|4|22|2
Teresita Piggot,tpiggotah7482,0,7|3|7|7|11|16|7|6
Lock Kohen,lkohen2j23235,0,10|2|1|14|6|11|14|6
Solomon Phillp,sphillpe4586,0,8|2|11|8|13|6|9|7
Correy Tipper,ctipperh14501,0,0|6|6|7|6|11|12|16
Jordanna Ellyatt,jellyattf224000,0,8|0|8|15|17|4|8|4
Gypsy McGaugan,gmcgauganga27318,0,7|8|13|13|13|3|6|1
