1,Random Strategies by Picorims,1|1|1|1|1|1|1|1
Marlo Stampe,mstampedi5471,0,12|11|13|8|8|3|4|5
Cody Cordner,ccordnerl625220,0,11|8|17|2|19|4|0|3
Wilone Kerfod,wkerfodb019744,0,9|4|7|8|6|13|10|7
Ardenia Fuzzens,afuzzenshz3905,0,0|6|25|3|16|0|12|2
Sybil Sperry,ssperryoa14735,0,8|3|19|7|8|6|7|6
Seth Fardon,sfardon8519265,0,6|1|7|3|15|10|10|12
L;urette Vossing,lvossingd32047,0,6|10|11|7|10|5|11|4
Jourdain Muttitt,jmuttittno31969,0,4|17|12|6|4|2|11|8
Fabiano Tong,ftongi61143,0,6|8|0|17|11|5|6|11
Oralle Neilan,oneilanri9586,0,3|10|11|15|14|8|1|2
Oralla Cowey,ocoweyou20867,0,1|7|10|5|6|14|10|11
Brandie Gabel,bgabelqn10202,0,7|9|15|1|13|13|6|0
Stormy Rae,srae2w22018,0,6|11|10|0|8|7|8|14
Roshelle Bairstow,rbairstow2h11884,0,2|8|6|7|17|6|10|8
Bryant Putland,bputlandfl23971,0,16|1|16|1|13|0|6|11
Marysa Plan,mplanr516375,0,12|8|2|25|7|6|1|3
Sophie Matzl,smatzl856429,0,6|21|5|3|12|0|11|6
Johnette Lillegard,jlillegard4z8992,0,3|4|10|1|0|20|7|19
Mallory Mickleburgh,mmickleburghn313900,0,2|7|16|0|4|14|7|14
Shantee Saffer,ssafferp610568,0,9|14|16|2|10|5|3|5
Hyacinthe Di Bartolommeo,hdir323637,0,8|4|15|9|4|7|3|14
Catherine Troker,ctrokerdn25920,0,6|11|1|18|8|8|8|4
Evelin Iannuzzi,eiannuzzict5420,0,13|18|8|0|7|1|16|1
Lyndsay Tildesley,ltildesley3217860,0,4|5|2|3|22|8|3|17
Heda Castellanos,hcastellanosgf26961,0,7|14|3|26|2|7|5|0
Emlen Morando,emorandob03009,0,2|9|14|22|8|6|3|0
Pippy Goldsbrough,pgoldsbrough946669,0,1|4|18|18|8|5|5|5
Ingra Itzkowicz,iitzkowicz6k5040,0,2|21|2|6|25|3|4|1
Becky Patley,bpatley5u3186,0,2|12|8|6|16|10|10|0
Jewell McEvay,jmcevaybc23575,0,9|2|6|21|5|3|7|11
Tessa Rubury,truburyn93479,0,7|1|7|3|12|17|2|15
Emmery Doiley,edoileygq14689,0,0|9|11|12|11|3|2|16
Martynne Toovey,mtooveyd711237,0,13|0|6|4|14|18|1|8
Amalia Dresse,adresse7115348,0,2|4|0|11|2|8|7|30
Ximenez Wride,xwridel24072,0,3|6|22|4|0|10|7|12
Tiphanie Madsen,tmadsenk231095,0,4|10|4|8|14|3|6|15
Vergil Brusle,vbrusle4r23129,0,28|0|9|8|1|6|1|11
Lenka Tillett,ltillett4829476,0,5|8|7|18|5|0|7|14
Rochester Matterface,rmatterface1k18040,0,20|15|8|0|8|0|13|0
Christyna Carwardine,ccarwardinek431125,0,1|12|25|7|7|0|11|1
Jecho Lello,jlelloih25788,0,12|12|2|7|3|0|10|18
Jacintha Plaunch,jplauncho220194,0,0|16|16|7|14|5|2|4
Clarey Hurche,churchekk25943,0,2|4|10|9|21|6|5|7
Kacey Bottelstone,kbottelstone3y4432,0,18|7|0|5|8|6|16|4
Ysabel Chiommienti,ychiommientiro16387,0,2|8|2|4|18|14|5|11
Beauregard Glowinski,bglowinskigk13239,0,13|18|1|8|4|5|9|6
Vassily Francombe,vfrancomber015322,0,5|11|12|4|6|13|7|6
Brynna Sallis,bsallis2j25775,0,8|6|9|6|6|4|20|5
Tucker Decourcy,tdecourcyg77865,0,2|14|13|6|6|4|9|10
Tanney Birtle,tbirtle7y8121,0,14|5|13|3|11|15|0|3
