1,Random Strategies by Picorims,1|1|1|1|1|1|1|1
Madelin Hurkett,mhurkettci18311,0,10|0|8|5|6|27|0|8
Billy Sphinxe,bsphinxenh12102,0,7|12|7|8|6|5|11|8
Giacomo Musicka,gmusickag7683,0,1|11|8|3|0|23|4|14
Marita Rhodef,mrhodef1u27190,0,7|4|1|21|3|11|5|12
Margareta Lorence,mlorencek721248,0,9|14|5|16|8|5|7|0
Hobie Zorzin,hzorzinpq31692,0,10|18|1|13|1|6|10|5
Tracie Paulillo,tpaulillooa2706,0,1|5|16|2|12|9|13|6
Rebbecca Scrange,rscrangeb318341,0,7|2|8|6|21|7|7|6
Donetta Colleck,dcolleckk012180,0,2|8|7|2|8|12|8|17
Daffy Flockhart,dflockhart2p29382,0,12|3|9|16|4|9|6|5
